City,1st Most Common Res,2nd Most Common Res,3rd Most Common Res,4th Most Common Res,5th Most Common Res,Cluster Labels,2019estimate,2016 population density,lantitude,longitude
Peoria,Chinese Restaurant,Mexican Restaurant,Italian Restaurant,American Restaurant,Seafood Restaurant,1,0.021106496640144554,0.026970364579631867,33.7862,112.30799999999999
Peoria,Chinese Restaurant,Mexican Restaurant,Italian Restaurant,American Restaurant,Seafood Restaurant,1,0.013244503267853907,0.07803283348731434,40.7515,89.6174
Philadelphia,Chinese Restaurant,Pizza Place,Latin American Restaurant,American Restaurant,Bar,4,0.19000824895160828,0.4089261601876199,40.0094,75.1333
Phoenix,Mexican Restaurant,American Restaurant,Seafood Restaurant,Pizza Place,Latin American Restaurant,1,0.20163474860969122,0.10464785729514604,33.5722,112.0901
Pittsburgh,Pizza Place,Indian Restaurant,Chinese Restaurant,American Restaurant,Mexican Restaurant,4,0.036019262507501364,0.18854381351716296,40.4398,79.9766
Plano,Chinese Restaurant,Mexican Restaurant,Japanese Restaurant,Italian Restaurant,Sushi Restaurant,3,0.03450681477115307,0.13556250444175966,33.0508,96.7479
Pomona,Mexican Restaurant,Chinese Restaurant,Seafood Restaurant,Korean Restaurant,Caribbean Restaurant,2,0.01819531363108966,0.2293724681970009,34.0585,117.7611
Pompano Beach,Italian Restaurant,Caribbean Restaurant,Mexican Restaurant,Chinese Restaurant,Seafood Restaurant,4,0.01344853797318569,0.15574586028000853,26.2416,80.1339
Port St. Lucie,Italian Restaurant,American Restaurant,Pizza Place,Mexican Restaurant,Chinese Restaurant,0,0.02421139866690129,0.049108094662781605,27.2806,80.3883
Portland,Chinese Restaurant,Thai Restaurant,American Restaurant,Bar,Mexican Restaurant,4,0.07853608877344914,0.1640963684173122,45.537,122.65
Providence,Italian Restaurant,Chinese Restaurant,Mexican Restaurant,American Restaurant,Thai Restaurant,4,0.021576939976012427,0.33988344822684957,41.8231,71.4188
Provo,Chinese Restaurant,Japanese Restaurant,Thai Restaurant,Mexican Restaurant,Latin American Restaurant,4,0.013988312325915275,0.09338355482908109,40.2453,111.6448
Pueblo,Mexican Restaurant,Italian Restaurant,Sushi Restaurant,Japanese Restaurant,Chinese Restaurant,1,0.013477685788233088,0.06691066732996943,38.2699,104.6123
Raleigh,American Restaurant,Mexican Restaurant,Italian Restaurant,Sushi Restaurant,Chinese Restaurant,0,0.0568645083609248,0.10617582261388672,35.8306,78.6418
Rancho Cucamonga,Mexican Restaurant,American Restaurant,Sushi Restaurant,Pizza Place,Korean Restaurant,1,0.02130345430396277,0.15059341908890625,34.1233,117.5642
Reno,Mexican Restaurant,Chinese Restaurant,Bar,American Restaurant,Vietnamese Restaurant,1,0.030659303184896586,0.07501243692701301,39.5491,119.8499
Renton,Mexican Restaurant,Chinese Restaurant,Vietnamese Restaurant,Thai Restaurant,American Restaurant,1,0.012205017814352888,0.1470755454480847,47.4761,122.19200000000001
Rialto,Mexican Restaurant,Chinese Restaurant,Thai Restaurant,Latin American Restaurant,Korean Restaurant,1,0.01241792880904067,0.1584109160685097,34.1118,117.3883
Richardson,Chinese Restaurant,Vietnamese Restaurant,Indian Restaurant,Sushi Restaurant,Mexican Restaurant,4,0.014552676399158096,0.13460308435789922,32.9723,96.7081
Richmond,Chinese Restaurant,Mexican Restaurant,Pizza Place,Seafood Restaurant,American Restaurant,1,0.027640765054576584,0.1263947125293156,37.5314,77.476
Richmond,Chinese Restaurant,Mexican Restaurant,Pizza Place,Seafood Restaurant,American Restaurant,1,0.013262495746278226,0.1234098500461943,37.9523,122.3606
Richmond,Chinese Restaurant,Mexican Restaurant,Pizza Place,Seafood Restaurant,American Restaurant,1,0.027640765054576584,0.1263947125293156,37.5314,77.476
Richmond,Chinese Restaurant,Mexican Restaurant,Pizza Place,Seafood Restaurant,American Restaurant,1,0.013262495746278226,0.1234098500461943,37.9523,122.3606
Riverside,Mexican Restaurant,American Restaurant,Thai Restaurant,Sushi Restaurant,Japanese Restaurant,1,0.03974658433788339,0.1358823111363798,33.9381,117.3932
Rochester,American Restaurant,Chinese Restaurant,Italian Restaurant,Mexican Restaurant,Caribbean Restaurant,0,0.024673085663269326,0.2011228768388885,43.1699,77.6169
Rochester,American Restaurant,Chinese Restaurant,Italian Restaurant,Mexican Restaurant,Caribbean Restaurant,0,0.01426623614264293,0.0679766896453699,44.0154,92.4772
Rochester,American Restaurant,Chinese Restaurant,Italian Restaurant,Mexican Restaurant,Caribbean Restaurant,0,0.024673085663269326,0.2011228768388885,43.1699,77.6169
Rochester,American Restaurant,Chinese Restaurant,Italian Restaurant,Mexican Restaurant,Caribbean Restaurant,0,0.01426623614264293,0.0679766896453699,44.0154,92.4772
Rockford,Mexican Restaurant,Vietnamese Restaurant,Pizza Place,Italian Restaurant,American Restaurant,1,0.017465778605911586,0.07639826593703361,42.2588,89.0646
Roseville,Chinese Restaurant,American Restaurant,Vietnamese Restaurant,Pizza Place,Mexican Restaurant,0,0.016972904646941393,0.1034041645938455,38.769,121.3189
Round Rock,Mexican Restaurant,American Restaurant,Pizza Place,Indian Restaurant,Chinese Restaurant,2,0.0159979522160556,0.11445526259683036,30.5252,97.666
Sacramento,Chinese Restaurant,Mexican Restaurant,Thai Restaurant,American Restaurant,Japanese Restaurant,4,0.06160912492141785,0.17354843294719635,38.5666,121.4686
Saint Paul,Vietnamese Restaurant,Italian Restaurant,Mexican Restaurant,Bar,Thai Restaurant,4,0.0369560708841276,0.20041219529528817,44.9489,93.1041
Salem,Mexican Restaurant,Chinese Restaurant,American Restaurant,Italian Restaurant,Vietnamese Restaurant,1,0.020915056669709796,0.11619643237865113,44.9237,123.0232
Salinas,Mexican Restaurant,Chinese Restaurant,American Restaurant,Japanese Restaurant,Seafood Restaurant,1,0.01864800438824554,0.23050955866676143,36.6902,121.6337
Salt Lake City,American Restaurant,Mexican Restaurant,Italian Restaurant,Sushi Restaurant,Indian Restaurant,0,0.024057982800869925,0.0556818989410845,40.7769,111.931
San Angelo,Mexican Restaurant,Italian Restaurant,Chinese Restaurant,American Restaurant,Vietnamese Restaurant,1,0.012115415271799776,0.05351432023310355,31.4411,100.4505
San Antonio,Mexican Restaurant,American Restaurant,Thai Restaurant,Seafood Restaurant,Latin American Restaurant,2,0.1855927747964241,0.10884087840238789,29.4724,98.5251
San Bernardino,Mexican Restaurant,Vietnamese Restaurant,Seafood Restaurant,Chinese Restaurant,Caribbean Restaurant,2,0.025883259762089057,0.11871935185843224,34.1416,117.2936
San Diego,Chinese Restaurant,Korean Restaurant,Italian Restaurant,Vietnamese Restaurant,Thai Restaurant,4,0.17079072264630493,0.1474664202970649,32.8153,117.135
San Jose,Vietnamese Restaurant,Chinese Restaurant,Seafood Restaurant,Mexican Restaurant,Japanese Restaurant,4,0.1225641632771836,0.19906190036244759,37.2967,121.8189
San Mateo,Chinese Restaurant,Mexican Restaurant,Japanese Restaurant,American Restaurant,Thai Restaurant,4,0.012526363479011234,0.2990903276241916,37.5603,122.3106
Sandy Springs,Thai Restaurant,Italian Restaurant,American Restaurant,Japanese Restaurant,Mexican Restaurant,0,0.013128751656657452,0.0934190889062611,33.9315,84.3687
Santa Ana,Mexican Restaurant,Vietnamese Restaurant,Latin American Restaurant,Breakfast Spot,American Restaurant,2,0.03986149630008671,0.4320233103546301,33.7363,117.883
Santa Clara,Korean Restaurant,Indian Restaurant,Vietnamese Restaurant,Chinese Restaurant,Thai Restaurant,4,0.015637262998576075,0.2370122947907043,37.3646,121.9679
Santa Clarita,Mexican Restaurant,Japanese Restaurant,Vietnamese Restaurant,Thai Restaurant,Sushi Restaurant,2,0.025546800415554283,0.11623196645583114,34.403,118.5042
Santa Maria,Mexican Restaurant,Chinese Restaurant,Sushi Restaurant,American Restaurant,Korean Restaurant,1,0.012866181421518548,0.15944140430673015,34.9332,120.4438
Santa Rosa,Mexican Restaurant,Chinese Restaurant,Indian Restaurant,American Restaurant,Thai Restaurant,1,0.02120149692622496,0.14448155781394356,38.4468,122.7061
Savannah,Mexican Restaurant,Italian Restaurant,Chinese Restaurant,Vietnamese Restaurant,Thai Restaurant,2,0.017328436020605947,0.04413332385757942,32.0025,81.1536
Seattle,Vietnamese Restaurant,Thai Restaurant,Seafood Restaurant,Japanese Restaurant,Chinese Restaurant,4,0.09040320784299331,0.2924454551915287,47.6205,122.3509
Shreveport,Seafood Restaurant,Chinese Restaurant,Vietnamese Restaurant,Thai Restaurant,Sushi Restaurant,3,0.022444057486208466,0.05845355696112572,32.4669,93.7922
Simi Valley,Mexican Restaurant,Sushi Restaurant,Japanese Restaurant,Chinese Restaurant,Thai Restaurant,1,0.015067261282093633,0.10194726742946486,34.2669,118.7485
Sioux Falls,American Restaurant,Mexican Restaurant,Chinese Restaurant,Vietnamese Restaurant,Latin American Restaurant,0,0.022045943913606356,0.07593632293369341,43.5383,96.73200000000001
South Bend,Mexican Restaurant,Italian Restaurant,American Restaurant,Breakfast Spot,Thai Restaurant,0,0.012238004024797473,0.08108876412479568,41.6769,86.26899999999999
Sparks,Mexican Restaurant,Chinese Restaurant,American Restaurant,Vietnamese Restaurant,Thai Restaurant,1,0.012595454596160622,0.0936322933693412,39.5544,119.7356
Spokane,American Restaurant,Chinese Restaurant,Mexican Restaurant,Italian Restaurant,Breakfast Spot,0,0.02663858400634199,0.10550067514746642,47.6669,117.4333
Spokane Valley,Mexican Restaurant,American Restaurant,Seafood Restaurant,Pizza Place,Breakfast Spot,1,0.012122132463744856,0.08904839741311918,47.6733,117.2394
Springfield,Chinese Restaurant,Mexican Restaurant,Italian Restaurant,American Restaurant,Pizza Place,1,0.020137421752210706,0.06602231540046904,37.1942,93.2913
Springfield,Chinese Restaurant,Mexican Restaurant,Italian Restaurant,American Restaurant,Pizza Place,1,0.018425017605640137,0.16541112927297277,42.1155,72.54
Springfield,Chinese Restaurant,Mexican Restaurant,Italian Restaurant,American Restaurant,Pizza Place,1,0.013701872069400108,0.06218463506502736,39.7911,89.6446
Springfield,Chinese Restaurant,Mexican Restaurant,Italian Restaurant,American Restaurant,Pizza Place,4,0.020137421752210706,0.06602231540046904,37.1942,93.2913
Springfield,Chinese Restaurant,Mexican Restaurant,Italian Restaurant,American Restaurant,Pizza Place,4,0.018425017605640137,0.16541112927297277,42.1155,72.54
Springfield,Chinese Restaurant,Mexican Restaurant,Italian Restaurant,American Restaurant,Pizza Place,4,0.013701872069400108,0.06218463506502736,39.7911,89.6446
Springfield,Chinese Restaurant,Mexican Restaurant,Italian Restaurant,American Restaurant,Pizza Place,1,0.020137421752210706,0.06602231540046904,37.1942,93.2913
Springfield,Chinese Restaurant,Mexican Restaurant,Italian Restaurant,American Restaurant,Pizza Place,1,0.018425017605640137,0.16541112927297277,42.1155,72.54
Springfield,Chinese Restaurant,Mexican Restaurant,Italian Restaurant,American Restaurant,Pizza Place,1,0.013701872069400108,0.06218463506502736,39.7911,89.6446
St. Louis,Italian Restaurant,Bar,American Restaurant,Japanese Restaurant,Chinese Restaurant,4,0.03605404796578838,0.1722692061687158,38.6357,90.2446
St. Petersburg,American Restaurant,Thai Restaurant,Seafood Restaurant,Pizza Place,Japanese Restaurant,0,0.03182881428247735,0.1438419444247033,27.761999999999997,82.6441
Stamford,Italian Restaurant,Chinese Restaurant,Mexican Restaurant,Latin American Restaurant,Pizza Place,4,0.015550059453146206,0.11580555752967095,41.0799,73.546
Sterling Heights,Italian Restaurant,Chinese Restaurant,American Restaurant,Vietnamese Restaurant,Thai Restaurant,0,0.015885919050400172,0.12269916850259399,42.5812,83.0303
Stockton,Mexican Restaurant,Chinese Restaurant,Vietnamese Restaurant,Italian Restaurant,American Restaurant,1,0.03750796017232956,0.17063463861843509,37.9763,121.3133
Sugar Land,Mexican Restaurant,Indian Restaurant,Chinese Restaurant,American Restaurant,Sushi Restaurant,1,0.014212618556938457,0.1177243976973918,29.5994,95.6142
Sunnyvale,Chinese Restaurant,Indian Restaurant,American Restaurant,Vietnamese Restaurant,Thai Restaurant,4,0.018316702885525733,0.24053016843152583,37.3858,122.0263
Syracuse,American Restaurant,Chinese Restaurant,Italian Restaurant,Korean Restaurant,Thai Restaurant,0,0.017072103177987474,0.19756946912088694,43.041000000000004,76.1436
Tacoma,American Restaurant,Mexican Restaurant,Vietnamese Restaurant,Bar,Seafood Restaurant,0,0.02612831731822829,0.14483689858574372,47.2522,122.4598
Tallahassee,Mexican Restaurant,Seafood Restaurant,Italian Restaurant,Chinese Restaurant,American Restaurant,1,0.02333024702353428,0.06133181721270699,30.4551,84.2534
Tampa,Italian Restaurant,Latin American Restaurant,Bar,American Restaurant,Chinese Restaurant,4,0.04794395750800336,0.11196787719422926,27.9701,82.4797
Temecula,American Restaurant,Mexican Restaurant,Thai Restaurant,Sushi Restaurant,Korean Restaurant,0,0.0137655654430222,0.10148532442612465,33.4931,117.1317
Tempe,Thai Restaurant,Mexican Restaurant,Seafood Restaurant,Chinese Restaurant,Vietnamese Restaurant,1,0.023486781585825862,0.1558879965887286,33.3884,111.9318
Thornton,Mexican Restaurant,Chinese Restaurant,Vietnamese Restaurant,Thai Restaurant,Sushi Restaurant,2,0.016968586452119554,0.12984151801577712,39.9194,104.9428
Thousand Oaks,Mexican Restaurant,Italian Restaurant,Pizza Place,Chinese Restaurant,Bar,1,0.01521120110948819,0.07675360670883377,34.1933,118.8742
Toledo,Chinese Restaurant,Pizza Place,Mexican Restaurant,Caribbean Restaurant,Vietnamese Restaurant,3,0.032719801814049654,0.11640963684173122,41.6641,83.5819
Topeka,Mexican Restaurant,Chinese Restaurant,American Restaurant,Vietnamese Restaurant,Thai Restaurant,1,0.015030916475676509,0.0670528036386895,39.0347,95.6962
Torrance,American Restaurant,Chinese Restaurant,Mexican Restaurant,Indian Restaurant,Japanese Restaurant,4,0.01722383974603257,0.24891621064600952,33.835,118.3414
Tulsa,Vietnamese Restaurant,American Restaurant,Mexican Restaurant,Chinese Restaurant,Thai Restaurant,0,0.04812268279368493,0.06655532655816929,36.1279,95.9023
Tuscaloosa,Chinese Restaurant,Thai Restaurant,Seafood Restaurant,Mexican Restaurant,Italian Restaurant,3,0.012130409003820043,0.043493710468339136,33.2065,87.5346
Tyler,Mexican Restaurant,Italian Restaurant,Chinese Restaurant,American Restaurant,Japanese Restaurant,1,0.012832835361505476,0.05959064743088622,32.3173,95.3059
Vacaville,Chinese Restaurant,Mexican Restaurant,American Restaurant,Thai Restaurant,Italian Restaurant,3,0.012075352019841626,0.11633856868737119,38.3539,121.9728
Vallejo,Mexican Restaurant,Chinese Restaurant,Breakfast Spot,Vietnamese Restaurant,Thai Restaurant,2,0.014596937896081921,0.13417667543173903,38.1079,122.264
Vancouver,Mexican Restaurant,Chinese Restaurant,American Restaurant,Vietnamese Restaurant,Japanese Restaurant,1,0.022126310317234985,0.12625257622059555,45.6349,122.5957
Ventura,Seafood Restaurant,Mexican Restaurant,Italian Restaurant,Sushi Restaurant,Japanese Restaurant,1,0.013087249006425354,0.17241134247743586,34.2678,119.2542
Victorville,Sushi Restaurant,Mexican Restaurant,Chinese Restaurant,Vietnamese Restaurant,Thai Restaurant,1,0.014680063146402278,0.053052377229763345,34.5277,117.3536
Virginia Beach,Chinese Restaurant,Mexican Restaurant,Italian Restaurant,Vietnamese Restaurant,Thai Restaurant,3,0.053974316576698274,0.05951957927652619,36.78,76.0252
Visalia,Mexican Restaurant,American Restaurant,Sushi Restaurant,Chinese Restaurant,Italian Restaurant,1,0.016145850388703507,0.1179731362376519,36.3273,119.3289
Vista,Mexican Restaurant,Italian Restaurant,American Restaurant,Latin American Restaurant,Japanese Restaurant,1,0.012191463480606568,0.18694478004406226,33.1895,117.2386
Waco,Mexican Restaurant,Italian Restaurant,American Restaurant,Vietnamese Restaurant,Thai Restaurant,0,0.01670133817259033,0.047437993035320876,31.5601,97.186
Warren,Chinese Restaurant,American Restaurant,Italian Restaurant,Thai Restaurant,Breakfast Spot,0,0.016066443583924176,0.13335939165659869,42.4929,83.025
Washington,American Restaurant,Bar,Latin American Restaurant,Chinese Restaurant,Vietnamese Restaurant,0,0.08465449103656707,0.3899154288963116,38.9041,77.0172
Waterbury,Italian Restaurant,American Restaurant,Chinese Restaurant,Caribbean Restaurant,Bar,4,0.012902766127647998,0.12877549570037666,41.5585,73.0367
West Covina,Mexican Restaurant,Japanese Restaurant,Chinese Restaurant,American Restaurant,Thai Restaurant,1,0.012606849832496023,0.23328121668680266,34.0559,117.9099
West Jordan,Sushi Restaurant,Mexican Restaurant,Vietnamese Restaurant,Thai Restaurant,Seafood Restaurant,2,0.0139717592457649,0.1188614881671523,40.6024,112.0008
West Palm Beach,Chinese Restaurant,Caribbean Restaurant,Vietnamese Restaurant,Sushi Restaurant,Pizza Place,4,0.013428986146631263,0.06353492999786796,26.7464,80.1251
West Valley City,Mexican Restaurant,Chinese Restaurant,American Restaurant,Vietnamese Restaurant,Thai Restaurant,2,0.016222978146215757,0.1304811314050174,40.6885,112.0118
Westminster,Chinese Restaurant,Vietnamese Restaurant,Mexican Restaurant,American Restaurant,Italian Restaurant,4,0.013574245422443601,0.12141994172411343,39.8822,105.0644
Wichita,Mexican Restaurant,Chinese Restaurant,American Restaurant,Vietnamese Restaurant,Sushi Restaurant,1,0.04677300701214864,0.08016487811811528,37.6907,97.3459
Wichita Falls,Mexican Restaurant,Italian Restaurant,American Restaurant,Vietnamese Restaurant,Thai Restaurant,2,0.012556710792620253,0.04530594840451994,33.9067,98.5259
Wilmington,Seafood Restaurant,Italian Restaurant,Chinese Restaurant,Sushi Restaurant,Mexican Restaurant,4,0.014843075000926612,0.07472816430957288,34.2092,77.8858
WinstonSalem,American Restaurant,Chinese Restaurant,Italian Restaurant,Thai Restaurant,Japanese Restaurant,0,0.02974096708611932,0.058737829578565846,36.1027,80.26100000000001
Woodbridge,Indian Restaurant,Pizza Place,Italian Restaurant,Chinese Restaurant,Sushi Restaurant,4,0.012012378345356508,0.14839030630374528,40.5607,74.2927
Worcester,Chinese Restaurant,Italian Restaurant,Bar,Vietnamese Restaurant,American Restaurant,4,0.02224206192843144,0.1690711392225144,42.2695,71.8078
Yonkers,Chinese Restaurant,Italian Restaurant,Pizza Place,Mexican Restaurant,Bar,4,0.024034352679205985,0.39019970151375166,40.9459,73.8674
